"Nodo"	"ID"	"Leaves"	"Jaccard mean"	"Jaccard sd"	"16S mean"	"16S sd"	"Taxonomy"
"Node20963"	"10559"	"6"	"0.273"	"0.131"	"0.067"	"0.062"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472"
"Node20975"	"10565"	"18"	"0.219"	"0.071"	"0.073"	"0.035"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Hahellaceae"
"Node21096"	"10583"	"195"	"0.16"	"0.064"	"0.039"	"0.029"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas"
"Node22017"	"10766"	"29"	"0.267"	"0.063"	"0.094"	"0.02"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales"
"Node22123"	"10795"	"13"	"0.257"	"0.068"	"0.096"	"0.025"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales"
"Node22210"	"10808"	"26"	"0.195"	"0.041"	"0.059"	"0.017"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae"
"Node22382"	"10834"	"101"	"0.201"	"0.08"	"0.066"	"0.04"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae"
"Node22805"	"10932"	"4"	"0.098"	"0.041"	"0.03"	"0.013"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae"
"Node22819"	"10936"	"32"	"0.208"	"0.064"	"0.09"	"0.037"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae"
"Node23008"	"10967"	"41"	"0.209"	"0.081"	"0.107"	"0.101"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales"
"Node23398"	"11008"	"80"	"0.178"	"0.089"	"0.058"	"0.026"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio"
"Node24043"	"11090"	"26"	"0.159"	"0.123"	"0.042"	"0.049"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas"
"Node24183"	"11116"	"105"	"0.273"	"0.091"	"0.103"	"0.043"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales"
"Node24843"	"11257"	"234"	"0.176"	"0.079"	"0.043"	"0.028"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"
"Node24683"	"11220"	"2"	"0.244"	"0"	"0.083"	"0"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"
"Node24690"	"11222"	"2"	"0"	"0"	"0.005"	"0"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Lonsdalea;s__Lonsdalea quercina"
"Node24759"	"11230"	"28"	"0.416"	"0.154"	"0.119"	"0.051"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"
"Node24706"	"11224"	"7"	"0.099"	"0.057"	"0.03"	"0.015"	";d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae"
